code,web_name,short_name,position,season_points,exp_tier,eff_mult,proj_pgw,ffpl_pgw,ffpl_season,p_tier1,p_tier2,p_tier3,exp_mins_gw,starts,likely_starter,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,status,flags
220237,Botman,NEW,DEF,3,2.36,1.084,2.463,2.669,96.088,0.041,0.557,0.402,48.263,21.0,False,,,,a,
116535,A.Becker,LIV,GK,2,1.22,0.878,3.027,2.658,95.693,0.783,0.213,0.004,61.579,26.0,False,,,,a,
201666,Barnes,NEW,MID,2,2.36,1.081,2.443,2.64,95.037,0.041,0.557,0.402,51.342,19.0,False,,,,a,
434752,Bijol,LEE,DEF,10,2.436,1.097,2.397,2.631,94.699,0.026,0.511,0.462,49.684,21.0,False,,,,a,
470313,Woltemade,NEW,FWD,0,2.36,1.081,2.406,2.601,93.644,0.041,0.557,0.402,49.895,24.0,False,1.0,,,a,PEN
244851,Palmer,CHE,MID,13,1.421,0.91,2.836,2.581,92.923,0.595,0.388,0.017,51.421,24.0,False,1.0,3.0,,a,PEN
493250,Amad,MUN,MID,0,1.06,0.849,3.02,2.565,92.34,0.94,0.059,0.0,61.553,27.0,False,,,4.0,d,DOUBT-75%
220627,Justin,LEE,DEF,10,2.436,1.097,2.333,2.559,92.123,0.026,0.511,0.462,49.816,21.0,False,,,,a,
509416,Ayari,BHA,MID,2,2.229,1.06,2.341,2.482,89.365,0.068,0.634,0.298,50.553,20.0,False,,2.0,4.0,a,
560262,Kroupi.Jr,BOU,MID,0,1.837,0.984,2.52,2.479,89.228,0.248,0.667,0.085,43.763,21.0,False,1.0,,,i,PEN
210462,I.Sangaré,NFO,MID,2,2.25,1.067,2.322,2.477,89.158,0.065,0.62,0.315,54.553,25.0,False,,,,i,
488024,Yeremy,CRY,MID,1,2.221,1.056,2.307,2.436,87.678,0.076,0.627,0.297,54.579,26.0,False,,1.0,2.0,a,
510663,Ekitiké,LIV,FWD,0,1.22,0.876,2.767,2.423,87.235,0.783,0.213,0.004,47.289,21.0,False,,,,i,
482609,Gusto,CHE,DEF,1,1.421,0.91,2.656,2.417,87.0,0.595,0.388,0.017,59.342,26.0,False,,,,a,
171314,Rúben,MCI,DEF,2,1.006,0.839,2.832,2.375,85.513,0.994,0.006,0.0,56.289,24.0,False,,,,a,
221632,Romero,TOT,DEF,0,2.337,1.078,2.203,2.375,85.502,0.047,0.57,0.384,49.184,22.0,False,,,,u,
586309,Barry,EVE,FWD,8,2.096,1.032,2.297,2.372,85.378,0.112,0.68,0.208,49.947,21.0,False,2.0,,,a,
544877,Kerkez,LIV,DEF,0,1.22,0.875,2.696,2.36,84.956,0.783,0.213,0.004,59.237,27.0,True,,,,a,
202993,Bentancur,TOT,MID,1,2.337,1.084,2.162,2.345,84.407,0.047,0.57,0.384,49.474,23.0,False,,,,a,
122806,McGinn,AVL,MID,1,1.309,0.893,2.619,2.338,84.173,0.699,0.293,0.008,56.211,28.0,True,,,2.0,a,
209244,Foden,MCI,MID,1,1.006,0.839,2.784,2.335,84.043,0.994,0.006,0.0,54.684,23.0,False,,3.0,3.0,a,
441264,Brobbey,SUN,FWD,2,2.21,1.054,2.213,2.332,83.954,0.078,0.634,0.288,50.526,22.0,False,,,,a,
466052,Cherki,MCI,MID,8,1.006,0.838,2.734,2.292,82.497,0.994,0.006,0.0,46.632,19.0,False,,1.0,1.0,a,
435997,Okafor,LEE,MID,1,2.436,1.096,2.088,2.289,82.39,0.026,0.511,0.462,40.868,19.0,False,,,,a,
486385,Beto,EVE,FWD,1,2.096,1.031,2.204,2.273,81.833,0.112,0.68,0.208,40.816,17.0,False,4.0,,,a,
209046,Hudson-Odoi,NFO,MID,0,2.25,1.063,2.088,2.219,79.883,0.065,0.62,0.315,48.368,21.0,False,,4.0,,a,
448104,Hincapie,ARS,DEF,1,1.001,0.838,2.646,2.216,79.79,0.999,0.001,0.0,47.026,20.0,False,,,,a,
212314,Lukić,IPS,MID,5,2.926,1.195,1.84,2.199,79.155,0.001,0.072,0.927,45.526,20.0,False,,,4.0,a,NEW-CLUB
180974,Joelinton,NEW,MID,0,2.36,1.086,2.013,2.185,78.676,0.041,0.557,0.402,51.316,23.0,False,,,,i,
532529,Hinshelwood,BHA,MID,16,2.229,1.057,2.054,2.171,78.159,0.068,0.634,0.298,45.684,20.0,False,,,,d,DOUBT-25%
209289,Smith Rowe,FUL,MID,0,2.278,1.067,2.012,2.148,77.313,0.054,0.615,0.332,50.237,22.0,False,,,,a,
167074,Tete,FUL,DEF,0,2.278,1.067,2.009,2.144,77.171,0.054,0.615,0.332,47.132,21.0,False,,,,a,
249231,Lewis-Potter,BRE,MID,10,1.965,1.009,2.09,2.108,75.885,0.172,0.692,0.136,51.579,22.0,False,,1.0,,a,
493362,Xavi,TOT,MID,0,2.337,1.078,1.946,2.098,75.518,0.047,0.57,0.384,45.974,19.0,False,3.0,2.0,6.0,i,
209400,Kamada,CRY,MID,3,2.221,1.059,1.966,2.082,74.962,0.076,0.627,0.297,49.974,22.0,False,,,4.0,a,
225796,James,CHE,DEF,0,1.421,0.91,2.289,2.082,74.947,0.595,0.388,0.017,51.5,20.0,False,,1.0,1.0,a,
152551,Lerma,CRY,MID,0,2.221,1.06,1.942,2.058,74.079,0.076,0.627,0.297,45.316,18.0,False,,,,a,
248875,Doku,MCI,MID,0,1.006,0.839,2.452,2.058,74.073,0.994,0.006,0.0,46.658,19.0,False,4.0,,,i,
191866,Ajer,BRE,DEF,8,1.965,1.009,2.036,2.054,73.945,0.172,0.692,0.136,47.5,20.0,False,,,,a,
166477,Castagne,FUL,DEF,6,2.278,1.066,1.909,2.035,73.246,0.054,0.615,0.332,48.368,20.0,False,,,,a,
485711,Šeško,MUN,FWD,1,1.06,0.848,2.396,2.031,73.116,0.94,0.059,0.0,42.895,17.0,False,,,,a,
434399,Reinildo,SUN,DEF,1,2.21,1.054,1.913,2.016,72.559,0.078,0.634,0.288,51.737,23.0,False,,,,a,
60307,Groß,BHA,MID,2,2.229,1.058,1.901,2.012,72.436,0.068,0.634,0.298,43.053,18.0,False,1.0,1.0,1.0,a,PEN
206915,C.Jones,LIV,MID,0,1.22,0.879,2.276,2.002,72.06,0.783,0.213,0.004,50.605,18.0,False,,,,d,DOUBT-75%
195546,Buendía,AVL,MID,2,1.309,0.894,2.238,2.0,72.013,0.699,0.293,0.008,46.132,21.0,False,1.0,1.0,3.0,a,PEN
503301,Hutchinson,NFO,MID,0,2.25,1.063,1.878,1.996,71.856,0.065,0.62,0.315,44.105,17.0,False,,,4.0,a,
463067,Georginio,BHA,FWD,5,2.229,1.057,1.882,1.99,71.646,0.068,0.634,0.298,46.737,20.0,False,,,,d,DOUBT-75%
466075,Calafiori,ARS,DEF,9,1.001,0.836,2.368,1.979,71.241,0.999,0.001,0.0,44.658,22.0,False,,,,a,
232413,Eze,ARS,MID,1,1.001,0.837,2.351,1.968,70.853,0.999,0.001,0.0,49.605,22.0,False,,3.0,,a,
232859,Spence,TOT,DEF,0,2.337,1.076,1.807,1.945,70.022,0.047,0.57,0.384,53.921,23.0,False,,,,u,
651426,Canvot,CRY,DEF,1,2.221,1.058,1.818,1.923,69.243,0.076,0.627,0.297,35.026,14.0,False,,,,a,
460842,Kudus,TOT,MID,0,2.337,1.079,1.774,1.914,68.909,0.047,0.57,0.384,40.395,19.0,False,2.0,3.0,5.0,d,DOUBT-50%
200785,Adams,BOU,MID,1,1.837,0.991,1.922,1.904,68.54,0.248,0.667,0.085,46.553,21.0,False,,,,a,
59735,Darlow,MUN,GK,0,1.06,0.851,2.212,1.882,67.758,0.94,0.059,0.0,52.105,22.0,False,,,,a,"NEW-CLUB, GK-RISK"
114243,J.Murphy,NEW,MID,0,2.36,1.081,1.728,1.869,67.277,0.041,0.557,0.402,42.263,19.0,False,,,2.0,a,
451340,Mitoma,BHA,MID,0,2.229,1.056,1.761,1.859,66.935,0.068,0.634,0.298,45.105,19.0,False,,,,i,
482442,P.M.Sarr,TOT,MID,0,2.337,1.081,1.707,1.845,66.403,0.047,0.57,0.384,36.526,13.0,False,,,,i,
465730,De Cuyper,BHA,DEF,17,2.229,1.054,1.743,1.837,66.142,0.068,0.634,0.298,36.947,17.0,False,,4.0,2.0,a,
547719,L.Miley,NEW,MID,3,2.36,1.084,1.692,1.835,66.05,0.041,0.557,0.402,39.289,15.0,False,,,3.0,a,
549912,Talbi,SUN,MID,1,2.21,1.055,1.714,1.809,65.107,0.078,0.634,0.288,40.868,16.0,False,,,,a,
135720,Danso,TOT,DEF,0,2.337,1.08,1.667,1.801,64.829,0.047,0.57,0.384,39.184,17.0,False,,,,a,
214590,Wan-Bissaka,AVL,DEF,0,1.309,0.892,2.012,1.795,64.628,0.699,0.293,0.008,54.737,23.0,False,,,,a,NEW-CLUB
169528,Robinson,FUL,DEF,1,2.278,1.066,1.684,1.795,64.626,0.054,0.615,0.332,39.132,17.0,False,2.0,,,a,
444463,Fofana,CHE,DEF,0,1.421,0.913,1.956,1.787,64.316,0.595,0.388,0.017,45.211,20.0,False,,,,a,
511499,Tel,TOT,MID,2,2.337,1.078,1.638,1.766,63.559,0.047,0.57,0.384,35.105,13.0,False,,4.0,4.0,a,
75115,Wilson,BRE,FWD,1,1.965,1.006,1.748,1.759,63.31,0.172,0.692,0.136,32.474,11.0,False,,,,a,NEW-CLUB
101188,Digne,AVL,DEF,0,1.309,0.89,1.955,1.741,62.667,0.699,0.293,0.008,48.474,21.0,False,,,,u,
449871,Onana,AVL,MID,0,1.309,0.896,1.943,1.74,62.655,0.699,0.293,0.008,46.184,21.0,False,,,,i,
174594,Nmecha,LEE,FWD,0,2.436,1.095,1.575,1.724,62.079,0.026,0.511,0.462,28.026,10.0,False,2.0,,,a,
159506,Aina,NFO,DEF,5,2.25,1.062,1.617,1.717,61.797,0.065,0.62,0.315,41.763,18.0,False,,,,a,
166989,Tielemans,MUN,MID,2,1.06,0.852,2.013,1.714,61.718,0.94,0.059,0.0,48.868,21.0,False,3.0,,,a,NEW-CLUB
56979,Henderson,CHE,MID,0,1.421,0.913,1.848,1.688,60.772,0.595,0.388,0.017,50.289,22.0,False,,,,d,"NEW-CLUB, DOUBT-75%"
204580,Janelt,BRE,MID,9,1.965,1.011,1.659,1.678,60.406,0.172,0.692,0.136,37.737,15.0,False,,,4.0,a,
242898,Johnson,EVE,MID,1,2.096,1.034,1.614,1.668,60.062,0.112,0.68,0.208,45.0,19.0,False,,,,a,NEW-CLUB
201595,Perri,LEE,GK,0,2.436,1.099,1.514,1.664,59.908,0.026,0.511,0.462,37.895,16.0,False,,,,a,GK-RISK
433036,Reijnders,MCI,MID,0,1.006,0.839,1.976,1.658,59.686,0.994,0.006,0.0,42.711,19.0,False,,,,u,
547701,Gray,TOT,MID,2,2.337,1.08,1.527,1.649,59.37,0.047,0.57,0.384,38.711,18.0,False,,,,a,
248056,Tanaka,LEE,MID,0,2.436,1.099,1.484,1.631,58.731,0.026,0.511,0.462,34.395,14.0,False,,,4.0,a,
550864,Yoro,MUN,DEF,0,1.06,0.849,1.919,1.629,58.654,0.94,0.059,0.0,45.526,18.0,False,,,,a,
232653,J.Ramsey,NEW,MID,0,2.36,1.083,1.483,1.607,57.841,0.041,0.557,0.402,37.921,15.0,False,,,,a,
114283,Grealish,MCI,MID,1,1.006,0.84,1.902,1.597,57.489,0.994,0.006,0.0,42.816,18.0,False,,,,a,NEW-CLUB
95658,Maguire,MUN,DEF,1,1.06,0.848,1.868,1.585,57.048,0.94,0.059,0.0,43.395,19.0,False,,,,a,
485047,Morato,NFO,DEF,0,2.25,1.062,1.492,1.584,57.032,0.065,0.62,0.315,35.263,14.0,False,,,,a,
547027,Diarra,SUN,MID,1,2.21,1.053,1.496,1.575,56.693,0.078,0.634,0.288,36.921,15.0,False,1.0,,,a,PEN
437505,Isidor,SUN,FWD,1,2.21,1.052,1.495,1.573,56.64,0.078,0.634,0.288,30.211,11.0,False,,,,a,
477424,Gvardiol,MCI,DEF,9,1.006,0.837,1.862,1.559,56.112,0.994,0.006,0.0,36.053,16.0,False,,,,a,
220566,Rodrigo,MCI,MID,0,1.006,0.842,1.848,1.556,56.03,0.994,0.006,0.0,39.737,17.0,False,,,,u,
490094,Iroegbunam,EVE,MID,0,2.096,1.036,1.489,1.543,55.546,0.112,0.68,0.208,38.868,17.0,False,,,,i,
441302,Maatsen,AVL,DEF,0,1.309,0.892,1.676,1.494,53.795,0.699,0.293,0.008,41.842,17.0,False,,,,a,
244954,Pau,AVL,DEF,0,1.309,0.891,1.656,1.475,53.1,0.699,0.293,0.008,44.026,18.0,False,,,,a,
108413,Hughes,CRY,MID,0,2.221,1.057,1.395,1.475,53.094,0.076,0.627,0.297,41.053,19.0,False,,,3.0,a,
469272,Tchaouna,COV,MID,2,2.917,1.191,1.234,1.47,52.904,0.0,0.083,0.917,33.132,14.0,False,,,,a,NEW-CLUB
578153,Khusanov,MCI,DEF,2,1.006,0.839,1.741,1.461,52.596,0.994,0.006,0.0,37.553,15.0,False,,,,a,
111317,Brooks,BOU,MID,0,1.837,0.984,1.479,1.455,52.391,0.248,0.667,0.085,31.263,13.0,False,,3.0,4.0,a,
516895,Mainoo,MUN,MID,1,1.06,0.853,1.684,1.436,51.701,0.94,0.059,0.0,43.5,16.0,False,,,,a,
577725,King,FUL,MID,7,2.278,1.068,1.328,1.418,51.048,0.054,0.615,0.332,33.947,15.0,False,,,,a,
596777,Dorgu,MUN,MID,0,1.06,0.849,1.668,1.416,50.977,0.94,0.059,0.0,37.895,15.0,False,,,,a,
250199,Dominguez,NFO,MID,0,2.25,1.066,1.323,1.41,50.766,0.065,0.62,0.315,30.737,17.0,False,,,,a,
441191,Livramento,NEW,DEF,0,2.36,1.08,1.288,1.391,50.064,0.041,0.557,0.402,34.895,14.0,False,,,,i,
119471,Schär,NEW,DEF,1,2.36,1.084,1.281,1.388,49.983,0.041,0.557,0.402,28.658,11.0,False,,2.0,,a,
489888,Adli,BOU,MID,0,1.837,0.986,1.402,1.382,49.745,0.248,0.667,0.085,28.263,10.0,False,,,,i,
465694,N.Gonzalez,MCI,MID,0,1.006,0.843,1.637,1.38,49.688,0.994,0.006,0.0,41.079,17.0,False,,,,a,
486520,Gruev,LEE,MID,0,2.436,1.101,1.251,1.377,49.572,0.026,0.511,0.462,34.684,15.0,False,,,,i,
535301,Baleba,MUN,MID,0,1.06,0.853,1.607,1.371,49.339,0.94,0.059,0.0,43.316,23.0,False,,,,i,NEW-CLUB
499604,Rayan,BOU,MID,2,1.837,0.984,1.392,1.37,49.307,0.248,0.667,0.085,29.211,13.0,False,,,,a,
538207,Osula,NEW,FWD,4,2.36,1.08,1.268,1.369,49.299,0.041,0.557,0.402,21.184,8.0,False,2.0,,,i,
232787,Gallagher,TOT,MID,0,2.337,1.082,1.254,1.357,48.839,0.047,0.57,0.384,31.132,14.0,False,,,,a,
184029,Ødegaard,ARS,MID,11,1.001,0.838,1.582,1.326,47.719,0.999,0.001,0.0,35.868,16.0,False,3.0,,4.0,a,
180135,Longstaff,LEE,MID,1,2.436,1.098,1.2,1.318,47.449,0.026,0.511,0.462,26.395,10.0,False,,2.0,3.0,a,
456512,Ndoye,NFO,MID,3,2.25,1.064,1.238,1.317,47.398,0.065,0.62,0.315,30.711,14.0,False,,,,a,
242882,Diakité,BOU,DEF,0,1.837,0.986,1.332,1.313,47.275,0.248,0.667,0.085,33.553,15.0,False,,,,a,
433154,McNeil,CRY,MID,2,2.221,1.058,1.24,1.312,47.22,0.076,0.627,0.297,30.553,14.0,False,,,,a,NEW-CLUB
226944,Kamara,AVL,MID,2,1.309,0.895,1.464,1.31,47.163,0.699,0.293,0.008,37.105,17.0,False,,,,a,
449434,Elanga,NEW,MID,9,2.36,1.083,1.197,1.297,46.681,0.041,0.557,0.402,34.263,14.0,False,,,4.0,a,
