code,web_name,short_name,position,season_points,exp_tier,eff_mult,proj_pgw,ffpl_pgw,ffpl_season,p_tier1,p_tier2,p_tier3,exp_mins_gw,starts,likely_starter,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,status,flags
493105,Garnacho,AVL,MID,1,1.309,0.892,1.452,1.295,46.613,0.699,0.293,0.008,33.184,14.0,False,,,,a,NEW-CLUB
122798,Robertson,TOT,DEF,3,2.337,1.075,1.194,1.284,46.207,0.047,0.57,0.384,30.658,11.0,False,,,3.0,a,NEW-CLUB
149484,Mings,AVL,DEF,1,1.309,0.892,1.428,1.274,45.856,0.699,0.293,0.008,34.789,15.0,False,,,,a,
154566,Solanke,TOT,FWD,1,2.337,1.077,1.169,1.259,45.336,0.047,0.57,0.384,26.237,11.0,False,1.0,,,a,PEN
209365,De Ligt,MUN,DEF,0,1.06,0.849,1.453,1.234,44.431,0.94,0.059,0.0,30.789,13.0,False,,,,i,
60689,Wood,NFO,FWD,1,2.25,1.062,1.144,1.215,43.739,0.065,0.62,0.315,23.579,11.0,False,1.0,,,a,PEN
487053,Udogie,TOT,DEF,1,2.337,1.076,1.123,1.209,43.509,0.047,0.57,0.384,35.132,14.0,False,,,,a,
194010,Henry,BRE,DEF,0,1.965,1.006,1.194,1.201,43.252,0.172,0.692,0.136,34.789,14.0,False,,,,a,
195384,Merino,ARS,MID,1,1.001,0.838,1.426,1.195,43.021,0.999,0.001,0.0,26.947,10.0,False,,,,a,
550839,Odobert,TOT,MID,0,2.337,1.079,1.103,1.19,42.828,0.047,0.57,0.384,25.579,10.0,False,,,,i,
248857,Madueke,ARS,MID,1,1.001,0.837,1.397,1.17,42.119,0.999,0.001,0.0,31.711,16.0,False,,,6.0,a,
244042,Muniz,FUL,FWD,1,2.278,1.066,1.085,1.156,41.63,0.054,0.615,0.332,25.974,10.0,False,,,,a,
560552,Kevin,FUL,MID,1,2.278,1.067,1.079,1.151,41.436,0.054,0.615,0.332,27.105,9.0,False,,,3.0,a,
220362,Disasi,CHE,DEF,0,1.421,0.911,1.237,1.127,40.57,0.595,0.388,0.017,33.0,14.0,False,,,,a,NEW-CLUB
158499,Christie,BOU,MID,0,1.837,0.987,1.133,1.119,40.273,0.248,0.667,0.085,25.737,9.0,False,,,6.0,a,
477555,Bobb,FUL,MID,2,2.278,1.068,1.038,1.108,39.898,0.054,0.615,0.332,27.105,11.0,False,,,2.0,a,
246301,J.Cuenca,FUL,DEF,3,2.278,1.067,1.026,1.095,39.404,0.054,0.615,0.332,24.605,11.0,False,,,,a,
500040,Mosquera,ARS,DEF,6,1.001,0.838,1.305,1.093,39.347,0.999,0.001,0.0,25.947,9.0,False,,,,a,
500151,Savona,NFO,DEF,0,2.25,1.06,1.031,1.093,39.342,0.065,0.62,0.315,26.974,11.0,False,,,,i,
448514,Aït-Nouri,MCI,DEF,0,1.006,0.839,1.292,1.084,39.007,0.994,0.006,0.0,25.553,12.0,False,,,,a,
532605,Andrey Santos,MUN,MID,2,1.06,0.851,1.27,1.081,38.93,0.94,0.059,0.0,32.816,13.0,False,,,,a,NEW-CLUB
221820,Martinez,MUN,DEF,0,1.06,0.849,1.272,1.08,38.883,0.94,0.059,0.0,32.342,13.0,False,,,,a,
463034,Delap,CHE,FWD,0,1.421,0.911,1.184,1.078,38.819,0.595,0.388,0.017,28.737,12.0,False,4.0,,,a,
485337,Guessand,CRY,MID,1,2.221,1.057,1.015,1.073,38.624,0.076,0.627,0.297,23.921,9.0,False,,,,a,
444145,Martinelli,ARS,MID,0,1.001,0.836,1.271,1.063,38.271,0.999,0.001,0.0,28.026,11.0,False,,,,a,
570526,Bergvall,TOT,MID,1,2.337,1.079,0.976,1.053,37.923,0.047,0.57,0.384,25.132,11.0,False,,,,a,
54469,Smith,BOU,DEF,1,1.837,0.983,1.053,1.035,37.267,0.248,0.667,0.085,28.237,14.0,False,,,,a,
200089,Willock,NEW,MID,6,2.36,1.084,0.943,1.022,36.792,0.041,0.557,0.402,25.579,10.0,False,,,,a,
510281,Sávio,TOT,MID,0,2.337,1.077,0.926,0.997,35.895,0.047,0.57,0.384,21.5,7.0,False,,,,a,NEW-CLUB
216094,Frimpong,LIV,DEF,0,1.22,0.874,1.138,0.994,35.798,0.783,0.213,0.004,27.158,12.0,False,,,,a,
155408,Cook,BOU,MID,3,1.837,0.989,1.004,0.993,35.761,0.248,0.667,0.085,22.947,8.0,False,,,5.0,a,
222683,Kluivert,BOU,MID,3,1.837,0.984,1.005,0.989,35.614,0.248,0.667,0.085,24.868,10.0,False,2.0,2.0,3.0,a,
184341,Mount,MUN,MID,0,1.06,0.85,1.15,0.977,35.186,0.94,0.059,0.0,26.579,12.0,False,,3.0,,d,DOUBT-75%
624773,Estêvão,CHE,MID,1,1.421,0.911,1.068,0.973,35.017,0.595,0.388,0.017,22.079,12.0,False,3.0,,5.0,a,
204120,Boscagli,BHA,DEF,6,2.229,1.057,0.917,0.969,34.886,0.068,0.634,0.298,21.026,9.0,False,,,,a,
551210,Hato,CHE,DEF,1,1.421,0.912,1.059,0.965,34.755,0.595,0.388,0.017,29.974,12.0,False,,,,a,
219924,Diop,IPS,DEF,2,2.926,1.192,0.8,0.953,34.318,0.001,0.072,0.927,21.368,8.0,False,,,,a,NEW-CLUB
230001,Mazraoui,MUN,DEF,1,1.06,0.849,1.103,0.936,33.707,0.94,0.059,0.0,25.711,11.0,False,,,,a,
449027,Mamardashvili,LIV,GK,0,1.22,0.879,1.064,0.935,33.653,0.783,0.213,0.004,22.816,10.0,False,,,,a,GK-RISK
88894,Barkley,AVL,MID,2,1.309,0.893,1.041,0.929,33.451,0.699,0.293,0.008,22.211,7.0,False,,,4.0,a,
489706,Devenny,CRY,MID,0,2.221,1.057,0.872,0.922,33.186,0.076,0.627,0.297,20.658,7.0,False,3.0,2.0,,a,
606745,Heaven,MUN,DEF,1,1.06,0.849,1.06,0.9,32.388,0.94,0.059,0.0,24.211,11.0,False,,,,a,
232112,Ugarte,MUN,MID,0,1.06,0.854,1.023,0.873,31.444,0.94,0.059,0.0,23.053,8.0,False,,,,i,
492777,Bradley,LIV,DEF,0,1.22,0.876,0.971,0.851,30.621,0.783,0.213,0.004,24.421,12.0,False,,,,i,
109646,Tosin,CHE,DEF,0,1.421,0.914,0.929,0.85,30.584,0.595,0.388,0.017,20.737,8.0,False,,,,a,
76357,Cairney,FUL,MID,0,2.278,1.067,0.778,0.831,29.898,0.054,0.615,0.332,19.895,6.0,False,,,,i,
554197,Rigg,SUN,MID,1,2.21,1.055,0.786,0.829,29.854,0.078,0.634,0.288,19.947,11.0,False,,,,a,
198869,White,ARS,DEF,11,1.001,0.836,0.991,0.829,29.827,0.999,0.001,0.0,18.395,9.0,False,,,,a,
480455,Branthwaite,EVE,DEF,6,2.096,1.032,0.784,0.809,29.133,0.112,0.68,0.208,17.842,7.0,False,,,,a,
184667,Lindelöf,AVL,DEF,-2,1.309,0.892,0.881,0.786,28.3,0.699,0.293,0.008,24.789,11.0,False,,,,a,
513466,Röhl,EVE,MID,3,2.096,1.035,0.757,0.783,28.193,0.112,0.68,0.208,17.763,6.0,False,,,,a,
219168,Isak,LIV,FWD,2,1.22,0.876,0.874,0.766,27.561,0.783,0.213,0.004,18.263,8.0,False,2.0,,,a,
438234,Marmoush,MCI,FWD,0,1.006,0.839,0.899,0.754,27.162,0.994,0.006,0.0,18.184,8.0,False,2.0,2.0,,a,
515597,Bogarde,AVL,MID,1,1.309,0.894,0.84,0.751,27.027,0.699,0.293,0.008,27.421,11.0,False,,,,a,
502697,Alcaraz,EVE,MID,1,2.096,1.033,0.683,0.705,25.397,0.112,0.68,0.208,17.868,6.0,False,,,,a,
535818,Adingra,SUN,MID,0,2.21,1.058,0.666,0.705,25.376,0.078,0.634,0.288,17.079,9.0,False,,,,i,
472713,Hickey,BRE,DEF,1,1.965,1.008,0.68,0.685,24.664,0.172,0.692,0.136,17.868,8.0,False,,,,a,
577016,Acheampong,CHE,DEF,3,1.421,0.911,0.742,0.676,24.331,0.595,0.388,0.017,17.289,8.0,False,,,,a,
204968,Yates,NFO,MID,0,2.25,1.064,0.626,0.666,23.984,0.065,0.62,0.315,15.842,2.0,False,,,,a,
458249,Zirkzee,MUN,FWD,0,1.06,0.847,0.778,0.659,23.729,0.94,0.059,0.0,15.974,5.0,False,,,,a,
485055,Kinsky,TOT,GK,2,2.337,1.08,0.604,0.652,23.486,0.047,0.57,0.384,16.579,7.0,False,,,,a,
499169,Lewis-Skelly,ARS,MID,3,1.001,0.837,0.56,0.469,16.877,0.999,0.001,0.0,18.342,5.0,False,,,,a,
