name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Gravenberch,LIV,MID,1,0.07,0.08,0.15,8.8,0.31,3.27,3.25,1.0,3.25,3.06,3.72,3.26,5.0,a,,
Mukiele,SUN,DEF,2,0.05,0.08,0.13,8.63,0.26,4.16,4.33,0.75,3.25,3.14,4.57,3.23,0.0,a,,
Richarlison,TOT,FWD,3,0.42,0.06,0.48,6.22,0.23,2.93,3.25,1.0,3.25,3.07,3.53,3.21,2.0,a,,
Neto,CHE,MID,2,0.15,0.21,0.37,4.88,0.25,3.09,3.43,0.9,3.09,3.06,3.92,3.2,1.0,a,,
Berge,FUL,MID,2,0.06,0.06,0.12,8.55,0.24,3.26,2.94,1.0,2.94,2.96,3.65,3.17,2.0,a,,
Sadiki,SUN,MID,2,0.06,0.06,0.12,7.76,0.26,2.94,3.06,1.0,3.06,3.1,3.32,3.17,2.0,a,,
Shaw,MUN,DEF,1,0.03,0.06,0.08,6.49,0.27,2.94,3.02,1.0,3.02,3.04,3.47,3.17,1.0,a,,
Yarmoliuk,BRE,MID,2,0.06,0.06,0.12,10.82,0.25,3.22,3.41,0.9,3.07,3.04,3.85,3.16,1.0,a,,
Struijk,BHA,DEF,2,0.09,0.03,0.12,8.88,0.27,4.08,3.91,0.75,2.93,3.05,4.5,3.15,0.0,a,NEW-CLUB,
Matheus N.,MCI,DEF,1,0.02,0.07,0.09,6.41,0.38,3.33,3.45,0.9,3.1,2.96,3.97,3.14,1.0,d,DOUBT-75%,
Murillo,NFO,DEF,3,0.04,0.03,0.06,9.05,0.23,2.78,2.96,1.0,2.96,2.96,3.56,3.14,4.0,a,,
Gomez,BHA,MID,2,0.24,0.08,0.32,9.64,0.27,3.07,2.94,1.0,2.94,3.0,3.4,3.12,6.0,a,,
Van den Berg,BRE,DEF,2,0.1,0.05,0.15,8.66,0.25,3.72,3.95,0.75,2.96,3.07,4.29,3.11,0.0,i,,
Van de Ven,TOT,DEF,3,0.08,0.02,0.1,6.52,0.23,3.71,4.11,0.75,3.08,3.01,4.43,3.11,0.0,a,,
Jensen,BRE,MID,2,0.1,0.22,0.32,8.66,0.25,2.8,2.97,1.0,2.97,3.04,3.26,3.1,6.0,a,,
Bassey,FUL,DEF,2,0.06,0.02,0.08,7.37,0.24,3.21,2.89,1.0,2.89,2.91,3.49,3.08,0.0,a,,
Iwobi,FUL,MID,2,0.08,0.16,0.25,7.18,0.24,3.18,2.87,1.0,2.87,2.82,3.5,3.02,2.0,a,,
