name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Merino,ARS,MID,1,0.23,0.13,0.36,9.2,0.5,1.2,1.17,0.9,1.06,1.01,1.28,1.06,1.0,a,,
Bergvall,TOT,MID,3,0.12,0.07,0.2,7.64,0.23,1.05,1.17,0.9,1.05,1.0,1.32,1.06,1.0,a,,
Odobert,TOT,MID,3,0.16,0.12,0.28,7.45,0.23,1.19,1.32,0.75,0.99,1.03,1.49,1.05,0.0,i,,
Madueke,ARS,MID,1,0.1,0.18,0.29,6.14,0.5,1.17,1.15,0.9,1.04,1.01,1.26,1.05,1.0,a,,
Guessand,CRY,MID,3,0.14,0.1,0.25,8.11,0.27,1.07,1.15,0.9,1.03,1.01,1.18,1.02,1.0,a,,
Muniz,FUL,FWD,2,0.37,0.03,0.4,4.62,0.24,1.16,1.04,0.9,0.94,0.97,1.25,1.01,1.0,a,,
Mazraoui,MUN,DEF,1,0.03,0.04,0.07,8.31,0.27,0.94,0.96,1.0,0.96,0.98,1.1,1.01,1.0,a,,
De Ligt,MUN,DEF,1,0.09,0.06,0.15,8.06,0.27,1.23,1.27,0.75,0.95,0.97,1.45,1.01,0.0,i,,
Livramento,NEW,DEF,2,0.02,0.06,0.08,5.59,0.28,1.39,1.27,0.75,0.95,0.95,1.46,1.0,0.0,i,,
Estêvão,CHE,MID,2,0.24,0.19,0.42,6.82,0.25,0.97,1.08,0.9,0.97,0.94,1.22,0.99,1.0,a,,
Gruev,LEE,MID,2,0.06,0.08,0.14,7.84,0.25,1.38,1.3,0.75,0.98,0.93,1.48,0.99,0.0,i,,
Diop,IPS,DEF,3,0.08,0.03,0.1,7.18,0.17,0.95,0.96,1.0,0.96,0.95,1.05,0.98,2.0,a,NEW-CLUB,
Kevin,FUL,MID,2,0.12,0.13,0.24,7.68,0.24,1.15,1.04,0.9,0.93,0.91,1.26,0.98,1.0,a,,
Heaven,MUN,DEF,1,0.04,0.03,0.08,8.56,0.27,0.9,0.92,1.0,0.92,0.92,1.06,0.96,1.0,a,,
Boscagli,BHA,DEF,2,0.03,0.05,0.08,8.34,0.27,0.97,0.93,1.0,0.93,0.92,1.06,0.96,6.0,a,,
Adli,BOU,MID,1,0.19,0.13,0.32,9.46,0.26,1.38,1.26,0.75,0.94,0.93,1.4,0.96,0.0,i,,
Henry,BRE,DEF,2,0.03,0.04,0.07,5.6,0.25,1.2,1.28,0.75,0.96,0.94,1.35,0.96,0.0,a,,
Smith,BOU,DEF,1,0.02,0.03,0.05,6.54,0.26,1.03,0.95,1.0,0.95,0.92,1.05,0.96,1.0,a,,
Diakité,BOU,DEF,1,0.02,0.03,0.04,8.09,0.26,1.31,1.2,0.75,0.9,0.9,1.33,0.93,0.0,a,,
Cook,BOU,MID,1,0.06,0.08,0.14,11.99,0.26,0.99,0.9,1.0,0.9,0.89,1.0,0.92,3.0,a,,
Willock,NEW,MID,2,0.12,0.11,0.23,8.13,0.28,1.02,0.93,0.9,0.84,0.85,1.1,0.9,6.0,a,,
Savona,NFO,DEF,3,0.1,0.04,0.14,6.01,0.23,1.09,1.16,0.75,0.87,0.86,1.29,0.89,0.0,i,,
Aït-Nouri,MCI,DEF,1,0.05,0.14,0.19,6.79,0.38,1.08,1.12,0.75,0.84,0.86,1.29,0.89,0.0,a,,
Martinez,MUN,DEF,1,0.03,0.05,0.07,7.7,0.27,1.08,1.11,0.75,0.83,0.85,1.27,0.88,0.0,a,,
Sávio,TOT,MID,3,0.21,0.15,0.37,7.12,0.23,1.0,1.11,0.75,0.83,0.86,1.22,0.88,0.0,a,NEW-CLUB,
Barkley,AVL,MID,1,0.15,0.13,0.28,7.92,0.24,0.93,0.83,1.0,0.83,0.78,1.04,0.86,2.0,a,,
Martinelli,ARS,MID,1,0.27,0.11,0.38,7.03,0.5,1.06,1.05,0.75,0.78,0.8,1.16,0.82,0.0,a,,
Branthwaite,EVE,DEF,2,0.05,0.03,0.08,8.35,0.26,0.81,0.77,1.0,0.77,0.74,0.91,0.79,6.0,a,,
Rigg,SUN,MID,2,0.12,0.12,0.23,7.29,0.26,0.83,0.86,0.9,0.78,0.77,0.92,0.79,1.0,a,,
Christie,BOU,MID,1,0.15,0.09,0.25,10.04,0.26,1.12,1.02,0.75,0.76,0.75,1.13,0.78,0.0,a,,
Mount,MUN,MID,1,0.14,0.14,0.27,8.67,0.27,0.98,1.0,0.75,0.75,0.74,1.15,0.78,0.0,d,DOUBT-75%,
Röhl,EVE,MID,2,0.11,0.08,0.19,8.54,0.26,0.78,0.75,1.0,0.75,0.72,0.89,0.78,3.0,a,,
Acheampong,CHE,DEF,2,0.07,0.04,0.11,6.84,0.25,0.68,0.75,1.0,0.75,0.74,0.85,0.77,3.0,a,,
Devenny,CRY,MID,3,0.21,0.08,0.29,8.13,0.27,0.92,0.99,0.75,0.74,0.78,1.02,0.77,0.0,a,,
Kinsky,TOT,GK,3,0.0,0.0,0.0,0.0,0.23,0.65,0.72,1.0,0.72,0.72,0.83,0.75,2.0,a,,
Lindelöf,AVL,DEF,1,0.04,0.03,0.07,6.16,0.24,0.79,0.7,1.0,0.7,0.7,0.88,0.75,-2.0,a,,
Tosin,CHE,DEF,2,0.03,0.05,0.08,9.63,0.25,0.85,0.94,0.75,0.71,0.72,1.1,0.75,0.0,a,,
Mamardashvili,LIV,GK,1,0.0,0.0,0.0,0.0,0.31,0.94,0.93,0.75,0.7,0.7,1.06,0.73,0.0,a,GK-RISK,
Ugarte,MUN,MID,1,0.1,0.06,0.16,11.89,0.27,0.87,0.9,0.75,0.67,0.69,1.02,0.71,0.0,i,,
Hickey,BRE,DEF,2,0.06,0.04,0.1,7.22,0.25,0.68,0.73,0.9,0.65,0.67,0.78,0.68,1.0,a,,
Bradley,LIV,DEF,1,0.03,0.07,0.1,6.87,0.31,0.85,0.85,0.75,0.63,0.63,0.97,0.66,0.0,i,,
Alcaraz,EVE,MID,2,0.14,0.1,0.24,8.66,0.26,0.7,0.67,0.9,0.61,0.62,0.8,0.65,1.0,a,,
Bogarde,AVL,MID,1,0.05,0.06,0.11,6.2,0.24,0.75,0.67,0.9,0.6,0.6,0.84,0.65,1.0,a,,
Cairney,FUL,MID,2,0.14,0.11,0.25,7.57,0.24,0.83,0.75,0.75,0.56,0.55,0.91,0.59,0.0,i,,
Yates,NFO,MID,3,0.1,0.09,0.19,9.14,0.23,0.67,0.71,0.75,0.53,0.52,0.87,0.56,0.0,a,,
Adingra,SUN,MID,2,0.09,0.1,0.19,7.06,0.26,0.7,0.73,0.75,0.55,0.53,0.78,0.54,0.0,i,,
Zirkzee,MUN,FWD,1,0.45,0.05,0.5,5.48,0.27,0.66,0.68,0.75,0.51,0.51,0.78,0.53,0.0,a,,
Lewis-Skelly,ARS,MID,1,0.07,0.07,0.14,5.42,0.5,0.47,0.46,1.0,0.46,0.46,0.5,0.47,3.0,a,,
