web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
P.M.Sarr,TOT,MID,5.0,1.708,64.891,1.708,0.342,36.526,0.421,0.097,0.329,0.0,0.065,0.664,0.206,-0.075,0.113,0.089,10.686,0.226,3.0,0.4,a,
L.Miley,NEW,MID,5.5,1.693,64.336,1.698,0.308,39.289,0.411,0.128,0.177,0.0,0.114,0.714,0.169,-0.02,0.096,0.127,8.946,0.277,2.833,0.0,a,
Robinson,FUL,DEF,4.5,1.692,64.303,1.681,0.376,39.132,0.232,0.447,0.278,0.0,0.138,0.711,0.0,-0.115,0.063,0.084,8.148,0.243,3.333,1.8,a,
Mainoo,MUN,MID,5.5,1.685,64.044,1.689,0.306,43.5,0.296,0.139,0.264,0.0,0.068,0.791,0.187,-0.059,0.054,0.085,9.589,0.271,2.833,1.1,a,
Maatsen,AVL,DEF,4.5,1.683,63.963,1.683,0.374,41.842,0.255,0.471,0.213,0.0,0.043,0.761,0.0,-0.06,0.068,0.113,7.436,0.239,3.0,0.9,a,
Danso,TOT,DEF,5.0,1.674,63.618,1.674,0.335,39.184,0.113,0.416,0.562,0.0,0.043,0.712,0.0,-0.171,0.043,0.028,10.553,0.226,3.0,0.2,a,
Dorgu,MUN,MID,6.0,1.669,63.441,1.675,0.278,37.895,0.567,0.121,0.035,0.0,0.208,0.689,0.163,-0.113,0.144,0.119,6.664,0.271,2.833,1.5,a,
Pau,AVL,DEF,4.5,1.662,63.152,1.662,0.369,44.026,0.217,0.496,0.13,0.0,0.061,0.8,0.0,-0.042,0.068,0.03,6.531,0.239,3.0,0.4,a,
Janelt,BRE,MID,5.0,1.66,63.083,1.656,0.332,37.737,0.382,0.112,0.315,0.0,0.129,0.686,0.205,-0.168,0.075,0.138,10.445,0.252,3.167,0.1,a,
Tel,TOT,MID,6.0,1.639,62.286,1.639,0.273,35.105,0.534,0.093,0.072,0.0,0.141,0.638,0.198,-0.038,0.155,0.153,7.634,0.226,3.0,0.6,a,
N.Gonzalez,MCI,MID,5.5,1.639,62.266,1.639,0.298,41.079,0.252,0.185,0.382,0.0,0.051,0.747,0.156,-0.135,0.065,0.082,10.789,0.382,3.0,0.1,a,
Aina,NFO,DEF,4.5,1.624,61.722,1.624,0.361,41.763,0.166,0.447,0.223,0.0,0.108,0.759,0.0,-0.079,0.033,0.05,7.529,0.227,3.0,3.8,a,
Baleba,BHA,MID,5.0,1.62,61.559,1.62,0.324,43.316,0.209,0.137,0.368,0.0,0.036,0.788,0.199,-0.117,0.066,0.063,10.501,0.269,3.0,0.2,i,
Johnson,EVE,MID,6.0,1.615,61.386,1.62,0.269,45.0,0.431,0.137,0.047,0.0,0.069,0.818,0.251,-0.138,0.129,0.084,6.781,0.259,2.833,0.2,a,NEW-CLUB
Ødegaard,ARS,MID,6.5,1.583,60.16,1.583,0.244,35.868,0.511,0.209,0.049,0.0,0.111,0.652,0.071,-0.02,0.097,0.207,7.109,0.495,3.0,7.0,a,
Nmecha,LEE,FWD,5.5,1.575,59.832,1.568,0.286,28.026,0.772,0.0,0.002,0.0,0.176,0.51,0.129,-0.014,0.57,0.103,4.678,0.251,3.167,0.6,a,
Gray,TOT,MID,5.0,1.528,58.061,1.528,0.306,38.711,0.382,0.103,0.105,0.0,0.13,0.704,0.218,-0.114,0.103,0.093,8.042,0.226,3.0,0.2,a,
Perri,LEE,GK,4.5,1.514,57.527,1.51,0.336,37.895,0.0,0.448,0.0,0.354,0.069,0.689,0.0,-0.046,0.0,0.001,0.0,0.251,3.167,0.6,a,GK-RISK
Morato,NFO,DEF,5.0,1.5,57.01,1.5,0.3,35.263,0.195,0.377,0.357,0.0,0.041,0.641,0.0,-0.112,0.079,0.024,9.137,0.227,3.0,0.0,a,
Diarra,SUN,MID,5.5,1.497,56.895,1.497,0.272,36.921,0.549,0.114,0.016,0.0,0.081,0.671,0.197,-0.131,0.186,0.077,5.933,0.263,3.0,0.1,a,PEN
Isidor,SUN,FWD,5.5,1.495,56.805,1.495,0.272,30.211,0.649,0.0,0.001,0.0,0.166,0.549,0.161,-0.032,0.412,0.037,4.147,0.263,3.0,1.1,a,
Iroegbunam,EVE,MID,5.0,1.49,56.614,1.493,0.298,38.868,0.257,0.118,0.329,0.0,0.05,0.707,0.217,-0.189,0.061,0.068,10.488,0.259,2.833,0.0,i,
Tanaka,LEE,MID,5.0,1.485,56.432,1.481,0.297,34.395,0.347,0.102,0.196,0.0,0.095,0.625,0.158,-0.038,0.109,0.106,9.441,0.251,3.167,0.3,a,
J.Ramsey,NEW,MID,5.0,1.485,56.412,1.489,0.297,37.921,0.391,0.123,0.168,0.0,0.082,0.689,0.163,-0.132,0.091,0.102,8.91,0.277,2.833,0.4,a,
Brooks,BOU,MID,5.0,1.48,56.24,1.456,0.296,31.263,0.636,0.095,0.054,0.0,0.092,0.568,0.176,-0.141,0.336,0.214,7.402,0.257,3.667,0.1,d,DOUBT-75%
Kamara,AVL,MID,5.0,1.465,55.663,1.465,0.293,37.105,0.294,0.105,0.176,0.0,0.144,0.675,0.184,-0.112,0.063,0.076,9.047,0.239,3.0,0.3,a,
De Ligt,MUN,DEF,5.0,1.46,55.488,1.465,0.292,30.789,0.211,0.393,0.217,0.0,0.099,0.56,0.0,-0.02,0.09,0.061,8.133,0.271,2.833,0.0,i,
Garnacho,AVL,MID,6.0,1.453,55.203,1.453,0.242,33.184,0.552,0.093,0.016,0.0,0.078,0.603,0.165,-0.055,0.208,0.219,5.999,0.239,3.0,0.6,a,NEW-CLUB
Mings,AVL,DEF,4.5,1.435,54.522,1.435,0.319,34.789,0.18,0.392,0.182,0.0,0.087,0.633,0.0,-0.039,0.079,0.037,7.49,0.239,3.0,0.3,a,
Merino,ARS,MID,6.0,1.427,54.228,1.427,0.238,26.947,0.523,0.157,0.138,0.0,0.101,0.49,0.053,-0.035,0.234,0.128,9.202,0.495,3.0,0.8,a,
Adli,BOU,MID,5.0,1.403,53.298,1.385,0.281,28.263,0.445,0.086,0.162,0.0,0.088,0.514,0.159,-0.052,0.187,0.133,9.465,0.257,3.667,0.1,i,
Madueke,ARS,MID,6.5,1.398,53.106,1.398,0.215,31.711,0.409,0.185,0.017,0.0,0.167,0.577,0.062,-0.019,0.105,0.185,6.135,0.495,3.0,0.3,a,
Hughes,CRY,MID,4.5,1.396,53.043,1.396,0.31,41.053,0.29,0.132,0.136,0.0,0.035,0.746,0.21,-0.154,0.082,0.116,8.377,0.273,3.0,11.7,a,
Rayan,BOU,MID,6.5,1.393,52.918,1.372,0.214,29.211,0.529,0.088,0.04,0.0,0.075,0.531,0.165,-0.036,0.186,0.142,7.108,0.257,3.667,2.9,a,
Diakité,BOU,DEF,5.0,1.34,50.905,1.324,0.268,33.553,0.066,0.406,0.239,0.0,0.056,0.61,0.0,-0.038,0.02,0.027,8.158,0.257,3.667,0.2,a,
King,FUL,MID,5.5,1.33,50.521,1.321,0.242,33.947,0.385,0.097,0.069,0.0,0.079,0.617,0.174,-0.091,0.159,0.072,7.621,0.243,3.333,0.2,a,
Dominguez,NFO,MID,5.0,1.324,50.328,1.324,0.265,30.737,0.282,0.082,0.218,0.0,0.076,0.559,0.178,-0.071,0.119,0.083,9.98,0.227,3.0,0.1,a,
Mosquera,ARS,DEF,5.5,1.312,49.837,1.312,0.238,25.947,0.078,0.605,0.204,0.0,0.037,0.472,0.0,-0.084,0.028,0.057,8.396,0.495,3.0,8.1,a,
Aït-Nouri,MCI,DEF,5.5,1.297,49.293,1.297,0.236,25.553,0.182,0.459,0.094,0.0,0.148,0.465,0.0,-0.051,0.053,0.136,6.872,0.382,3.0,0.9,a,
Livramento,NEW,DEF,5.0,1.291,49.076,1.296,0.258,34.895,0.119,0.454,0.051,0.0,0.072,0.634,0.0,-0.039,0.024,0.059,5.652,0.277,2.833,0.1,i,
Schär,NEW,DEF,5.0,1.289,48.977,1.293,0.258,28.658,0.133,0.373,0.274,0.0,0.024,0.521,0.0,-0.036,0.072,0.052,8.95,0.277,2.833,0.2,a,
Martinez,MUN,DEF,5.0,1.279,48.602,1.283,0.256,32.342,0.087,0.413,0.194,0.0,0.07,0.588,0.0,-0.073,0.026,0.048,7.772,0.271,2.833,1.1,a,
Martinelli,ARS,MID,6.5,1.272,48.34,1.272,0.196,28.026,0.503,0.163,0.036,0.0,0.074,0.51,0.055,-0.069,0.27,0.115,7.03,0.495,3.0,0.2,a,
Andrey Santos,MUN,MID,5.0,1.271,48.305,1.275,0.254,32.816,0.299,0.105,0.143,0.0,0.078,0.597,0.141,-0.09,0.14,0.085,8.871,0.271,2.833,1.1,a,NEW-CLUB
Osula,NEW,FWD,6.0,1.268,48.171,1.273,0.211,21.184,0.582,0.0,0.0,0.0,0.222,0.385,0.091,-0.013,0.485,0.061,3.879,0.277,2.833,1.0,a,
Gallagher,TOT,MID,5.5,1.255,47.707,1.255,0.228,31.132,0.268,0.083,0.14,0.0,0.077,0.566,0.176,-0.054,0.106,0.078,8.937,0.226,3.0,0.3,a,
Gruev,LEE,MID,5.0,1.252,47.593,1.249,0.25,34.684,0.272,0.103,0.082,0.0,0.079,0.631,0.16,-0.074,0.064,0.08,7.839,0.251,3.167,0.0,i,
McNeil,CRY,MID,5.5,1.241,47.166,1.241,0.226,30.553,0.319,0.098,0.102,0.0,0.047,0.556,0.156,-0.036,0.114,0.141,8.384,0.273,3.0,0.2,a,NEW-CLUB
Ndoye,NFO,MID,5.5,1.239,47.076,1.239,0.225,30.711,0.304,0.082,0.061,0.0,0.091,0.558,0.178,-0.036,0.098,0.12,7.592,0.227,3.0,0.5,a,
Longstaff,LEE,MID,5.0,1.201,45.647,1.198,0.24,26.395,0.341,0.078,0.132,0.0,0.1,0.48,0.121,-0.051,0.118,0.153,9.154,0.251,3.167,0.1,a,
Henry,BRE,DEF,4.5,1.198,45.535,1.194,0.266,34.789,0.132,0.413,0.051,0.0,0.026,0.633,0.0,-0.057,0.027,0.043,5.664,0.252,3.167,0.3,a,
Elanga,NEW,MID,6.0,1.198,45.516,1.201,0.2,34.263,0.297,0.111,0.005,0.0,0.033,0.623,0.147,-0.019,0.119,0.123,5.113,0.277,2.833,0.7,a,
Robertson,TOT,DEF,4.5,1.197,45.491,1.197,0.266,30.658,0.211,0.325,0.039,0.0,0.084,0.557,0.0,-0.02,0.076,0.09,5.505,0.226,3.0,3.5,a,NEW-CLUB
Delap,CHE,FWD,5.5,1.184,44.974,1.184,0.215,28.737,0.511,0.0,0.0,0.0,0.077,0.522,0.155,-0.082,0.417,0.03,3.806,0.252,3.0,0.5,a,
Solanke,TOT,FWD,6.0,1.169,44.408,1.169,0.195,26.237,0.449,0.0,0.008,0.0,0.116,0.477,0.148,-0.03,0.353,0.038,5.667,0.226,3.0,1.5,a,PEN
Mount,MUN,MID,5.5,1.151,43.749,1.155,0.209,26.579,0.344,0.085,0.104,0.0,0.072,0.483,0.114,-0.051,0.136,0.138,8.667,0.271,2.833,0.0,d,DOUBT-50%
Wood,NFO,FWD,6.0,1.144,43.48,1.144,0.191,23.579,0.48,0.0,0.0,0.0,0.112,0.429,0.137,-0.013,0.456,0.039,3.522,0.227,3.0,1.8,a,PEN
Frimpong,LIV,DEF,5.5,1.14,43.318,1.145,0.207,27.158,0.231,0.401,0.012,0.0,0.038,0.494,0.0,-0.036,0.049,0.106,4.575,0.314,2.833,3.3,a,
Christie,BOU,MID,5.0,1.134,43.1,1.121,0.227,25.737,0.314,0.078,0.186,0.0,0.058,0.468,0.145,-0.115,0.153,0.094,10.041,0.257,3.667,0.0,s,
Udogie,TOT,DEF,4.5,1.126,42.805,1.126,0.25,35.132,0.117,0.373,0.05,0.0,0.041,0.639,0.0,-0.093,0.026,0.051,5.626,0.226,3.0,0.5,a,
Mazraoui,MUN,DEF,4.5,1.11,42.196,1.114,0.247,25.711,0.075,0.328,0.201,0.0,0.106,0.467,0.0,-0.068,0.033,0.041,8.387,0.271,2.833,0.7,a,
Odobert,TOT,MID,5.5,1.104,41.96,1.104,0.201,25.579,0.286,0.068,0.046,0.0,0.113,0.465,0.144,-0.018,0.16,0.118,7.446,0.226,3.0,0.0,i,
Muniz,FUL,FWD,5.5,1.085,41.211,1.077,0.197,25.974,0.422,0.0,0.002,0.0,0.102,0.472,0.133,-0.047,0.374,0.027,4.625,0.243,3.333,0.6,a,
Kevin,FUL,MID,5.5,1.08,41.043,1.074,0.196,27.105,0.318,0.077,0.057,0.0,0.031,0.493,0.139,-0.035,0.115,0.128,7.678,0.243,3.333,0.1,a,
Estêvão,CHE,MID,6.5,1.069,40.625,1.069,0.164,22.079,0.457,0.065,0.024,0.0,0.08,0.401,0.119,-0.078,0.236,0.187,6.82,0.252,3.0,1.3,a,
Heaven,MUN,DEF,4.5,1.067,40.535,1.07,0.237,24.211,0.096,0.309,0.208,0.0,0.063,0.44,0.0,-0.05,0.043,0.032,8.642,0.271,2.833,0.4,a,
Hato,CHE,DEF,4.5,1.066,40.525,1.066,0.237,29.974,0.094,0.355,0.188,0.0,0.025,0.545,0.0,-0.14,0.036,0.051,7.864,0.252,3.0,0.5,a,
Mamardashvili,LIV,GK,5.0,1.064,40.444,1.067,0.213,22.816,0.0,0.337,0.0,0.275,0.044,0.415,0.0,-0.007,0.0,0.001,0.0,0.314,2.833,0.2,a,GK-RISK
Smith,BOU,DEF,4.5,1.058,40.206,1.043,0.235,28.237,0.103,0.342,0.088,0.0,0.081,0.513,0.0,-0.07,0.021,0.032,6.614,0.257,3.667,0.1,a,
Barkley,AVL,MID,5.0,1.042,39.591,1.042,0.208,22.211,0.348,0.063,0.055,0.0,0.094,0.404,0.11,-0.032,0.153,0.132,7.919,0.239,3.0,0.2,a,
Bobb,FUL,MID,5.5,1.039,39.483,1.033,0.189,27.105,0.296,0.077,0.038,0.0,0.031,0.493,0.139,-0.035,0.129,0.163,7.125,0.243,3.333,0.3,a,
Savona,NFO,DEF,4.5,1.036,39.355,1.036,0.23,26.974,0.228,0.289,0.057,0.0,0.024,0.49,0.0,-0.052,0.096,0.045,6.09,0.227,3.0,0.0,i,
J.Cuenca,FUL,DEF,4.5,1.033,39.246,1.027,0.23,24.605,0.071,0.281,0.311,0.0,0.036,0.447,0.0,-0.114,0.026,0.053,9.965,0.243,3.333,0.0,a,
Ugarte,MUN,MID,5.0,1.024,38.926,1.026,0.205,23.053,0.151,0.074,0.285,0.0,0.029,0.419,0.099,-0.032,0.097,0.062,11.893,0.271,2.833,0.0,i,
Guessand,CRY,MID,5.5,1.016,38.599,1.016,0.185,23.921,0.302,0.077,0.068,0.0,0.029,0.435,0.122,-0.017,0.145,0.102,8.114,0.273,3.0,0.0,a,
Kluivert,BOU,MID,6.0,1.006,38.219,0.992,0.168,24.868,0.337,0.075,0.028,0.0,0.071,0.452,0.14,-0.098,0.185,0.14,6.877,0.257,3.667,1.1,a,
Cook,BOU,MID,5.0,1.005,38.181,0.997,0.201,22.947,0.149,0.069,0.29,0.0,0.029,0.417,0.129,-0.079,0.057,0.084,11.987,0.257,3.667,0.1,a,
White,ARS,DEF,5.5,0.996,37.863,0.996,0.181,18.395,0.104,0.429,0.089,0.0,0.056,0.334,0.0,-0.016,0.058,0.073,7.341,0.495,3.0,3.7,a,
Bergvall,TOT,MID,5.5,0.977,37.117,0.977,0.178,25.132,0.279,0.067,0.052,0.0,0.03,0.457,0.142,-0.05,0.122,0.074,7.643,0.226,3.0,0.2,a,
Bradley,LIV,DEF,5.0,0.976,37.093,0.98,0.195,24.421,0.125,0.361,0.094,0.0,0.05,0.444,0.0,-0.098,0.033,0.071,6.947,0.314,2.833,0.0,i,
Willock,NEW,MID,5.0,0.944,35.887,0.947,0.189,25.579,0.249,0.083,0.073,0.0,0.03,0.465,0.11,-0.066,0.122,0.11,8.133,0.277,2.833,0.1,a,
Tosin,CHE,DEF,4.5,0.936,35.55,0.936,0.208,20.737,0.066,0.246,0.247,0.0,0.047,0.377,0.0,-0.047,0.032,0.05,9.723,0.252,3.0,0.2,a,
Savinho,MCI,MID,6.5,0.926,35.207,0.926,0.143,21.5,0.334,0.097,0.03,0.0,0.041,0.391,0.081,-0.047,0.214,0.155,7.117,0.382,3.0,0.1,a,
Boscagli,BHA,DEF,4.5,0.924,35.099,0.924,0.205,21.026,0.083,0.266,0.167,0.0,0.072,0.382,0.0,-0.047,0.028,0.054,8.424,0.269,3.0,0.2,a,
Marmoush,MCI,FWD,7.0,0.899,34.164,0.899,0.128,18.184,0.44,0.0,0.002,0.0,0.112,0.331,0.069,-0.054,0.424,0.077,4.779,0.382,3.0,0.8,a,
Lindelöf,AVL,DEF,4.5,0.885,33.633,0.885,0.197,24.789,0.091,0.279,0.059,0.0,0.023,0.451,0.0,-0.018,0.039,0.027,6.242,0.239,3.0,0.2,a,
Isak,LIV,FWD,9.0,0.874,33.215,0.877,0.097,18.263,0.383,0.0,0.001,0.0,0.1,0.332,0.07,-0.012,0.409,0.029,4.142,0.314,2.833,16.4,a,PEN
Devenny,CRY,MID,5.0,0.873,33.156,0.873,0.175,20.658,0.255,0.066,0.059,0.0,0.027,0.376,0.106,-0.016,0.211,0.081,8.126,0.273,3.0,0.0,a,
Bogarde,AVL,MID,5.0,0.841,31.941,0.841,0.168,27.421,0.127,0.077,0.016,0.0,0.088,0.499,0.136,-0.102,0.048,0.058,6.196,0.239,3.0,0.1,a,
Diop,IPS,DEF,4.0,0.806,30.628,0.806,0.201,21.368,0.131,0.175,0.099,0.0,0.06,0.389,0.0,-0.048,0.076,0.027,7.263,0.174,3.0,18.0,a,NEW-CLUB
Branthwaite,EVE,DEF,5.5,0.79,30.031,0.793,0.144,17.842,0.116,0.217,0.143,0.0,0.02,0.324,0.0,-0.03,0.051,0.034,8.447,0.259,2.833,1.7,a,
Rigg,SUN,MID,5.0,0.787,29.902,0.787,0.157,19.947,0.216,0.062,0.032,0.0,0.04,0.363,0.106,-0.031,0.115,0.118,7.293,0.263,3.0,0.1,a,
Cairney,FUL,MID,5.0,0.778,29.578,0.773,0.156,19.895,0.239,0.057,0.039,0.0,0.039,0.362,0.102,-0.06,0.138,0.11,7.57,0.243,3.333,0.0,i,
Zirkzee,MUN,FWD,5.5,0.778,29.549,0.781,0.141,15.974,0.349,0.0,0.004,0.0,0.116,0.29,0.069,-0.051,0.45,0.05,5.484,0.271,2.833,0.6,a,
Röhl,EVE,MID,5.0,0.757,28.782,0.759,0.151,17.763,0.182,0.054,0.065,0.0,0.049,0.323,0.099,-0.015,0.109,0.085,8.545,0.259,2.833,0.1,a,
Acheampong,CHE,DEF,4.5,0.746,28.364,0.746,0.166,17.289,0.112,0.205,0.067,0.0,0.078,0.314,0.0,-0.029,0.072,0.036,6.942,0.252,3.0,0.3,a,
Hickey,BRE,DEF,4.5,0.685,26.018,0.682,0.152,17.868,0.072,0.212,0.085,0.0,0.02,0.325,0.0,-0.03,0.058,0.038,7.315,0.252,3.167,0.1,a,
Alcaraz,EVE,MID,5.0,0.684,25.977,0.686,0.137,17.868,0.18,0.054,0.069,0.0,0.026,0.325,0.1,-0.071,0.144,0.098,8.659,0.259,2.833,0.1,a,
Adingra,SUN,MID,5.0,0.667,25.345,0.667,0.133,17.079,0.172,0.053,0.023,0.0,0.06,0.311,0.091,-0.042,0.088,0.106,7.065,0.263,3.0,0.2,i,
Yates,NFO,MID,4.5,0.626,23.8,0.626,0.139,15.842,0.155,0.042,0.079,0.0,0.024,0.288,0.092,-0.054,0.102,0.092,9.138,0.227,3.0,3.3,i,
Kinsky,TOT,GK,4.5,0.604,22.957,0.604,0.134,16.579,0.0,0.176,0.0,0.131,0.016,0.301,0.0,-0.02,0.0,0.001,0.0,0.226,3.0,22.8,a,
Lewis-Skelly,ARS,MID,5.5,0.561,21.3,0.561,0.102,18.342,0.112,0.107,0.004,0.0,0.026,0.333,0.036,-0.058,0.067,0.073,5.416,0.495,3.0,0.6,a,
