web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
Cherki,MCI,MID,7.5,2.735,103.917,2.735,0.365,46.632,1.172,0.21,0.065,0.0,0.304,0.848,0.177,-0.041,0.195,0.369,7.135,0.382,3.0,7.9,a,
Richarlison,TOT,FWD,6.0,2.723,103.462,2.723,0.454,51.421,1.219,0.0,0.031,0.0,0.365,0.935,0.29,-0.118,0.421,0.063,6.221,0.226,3.0,3.0,a,
Hall,NEW,DEF,5.0,2.706,102.823,2.715,0.541,57.263,0.345,0.745,0.275,0.0,0.1,1.347,0.0,-0.106,0.045,0.102,7.326,0.277,2.833,3.6,a,
Kerkez,LIV,DEF,5.5,2.701,102.621,2.711,0.491,59.237,0.331,0.875,0.108,0.0,0.1,1.394,0.0,-0.107,0.06,0.033,5.902,0.314,2.833,3.9,a,
Gusto,CHE,DEF,5.0,2.661,101.099,2.661,0.532,59.342,0.471,0.703,0.086,0.0,0.153,1.396,0.0,-0.148,0.061,0.105,5.641,0.252,3.0,1.1,a,
Hincapie,ARS,DEF,5.5,2.655,100.873,2.655,0.483,47.026,0.244,1.096,0.376,0.0,0.145,0.855,0.0,-0.062,0.028,0.077,8.444,0.495,3.0,2.2,a,
Sessegnon,FUL,DEF,4.5,2.635,100.117,2.618,0.585,47.789,0.457,0.546,0.623,0.0,0.163,0.869,0.0,-0.023,0.074,0.081,10.093,0.243,3.333,0.4,a,
Murillo,NFO,DEF,5.5,2.624,99.694,2.624,0.477,56.053,0.188,0.6,0.561,0.0,0.082,1.319,0.0,-0.126,0.037,0.028,9.097,0.227,3.0,1.5,a,
McGinn,AVL,MID,5.5,2.62,99.56,2.62,0.476,56.211,0.789,0.158,0.053,0.0,0.143,1.323,0.279,-0.125,0.127,0.163,6.679,0.239,3.0,3.3,a,
Strand Larsen,CRY,FWD,6.0,2.54,96.508,2.54,0.423,60.553,0.775,0.0,0.001,0.0,0.13,1.425,0.31,-0.101,0.267,0.045,3.864,0.273,3.0,0.6,a,
Kroupi.Jr,BOU,MID,7.5,2.521,95.803,2.477,0.336,43.763,1.177,0.133,0.037,0.0,0.249,0.796,0.247,-0.118,0.365,0.094,6.564,0.257,3.667,0.8,i,PEN
Botman,NEW,DEF,5.0,2.471,93.901,2.479,0.494,48.263,0.291,0.628,0.608,0.0,0.129,0.878,0.0,-0.062,0.078,0.045,9.945,0.277,2.833,0.4,a,
Doku,MCI,MID,7.5,2.453,93.232,2.453,0.327,46.658,0.904,0.21,0.049,0.0,0.287,0.848,0.177,-0.021,0.142,0.255,6.791,0.382,3.0,3.6,d,DOUBT-75%
Barnes,NEW,MID,6.0,2.445,92.894,2.454,0.407,51.342,0.963,0.167,0.012,0.0,0.191,0.933,0.22,-0.042,0.272,0.126,5.4,0.277,2.833,1.1,a,
Woltemade,NEW,FWD,6.0,2.406,91.426,2.414,0.401,49.895,1.019,0.0,0.005,0.0,0.277,0.907,0.214,-0.017,0.357,0.067,4.852,0.277,2.833,1.7,a,PEN
Bijol,LEE,DEF,5.0,2.405,91.402,2.398,0.481,49.684,0.277,0.587,0.61,0.0,0.13,0.903,0.0,-0.103,0.047,0.04,9.838,0.251,3.167,0.3,a,
Šeško,MUN,FWD,7.0,2.396,91.034,2.405,0.342,42.895,1.104,0.0,0.001,0.0,0.381,0.78,0.184,-0.055,0.505,0.025,3.776,0.271,2.833,1.4,d,DOUBT-75%
Calafiori,ARS,DEF,5.5,2.373,90.164,2.373,0.431,44.658,0.419,1.041,0.093,0.0,0.127,0.812,0.0,-0.119,0.147,0.044,6.071,0.495,3.0,34.1,a,
Eze,ARS,MID,6.5,2.352,89.379,2.352,0.362,49.605,0.901,0.289,0.031,0.0,0.172,0.902,0.098,-0.042,0.219,0.127,6.267,0.495,3.0,2.2,a,
Ayari,BHA,MID,5.5,2.342,89.012,2.342,0.426,50.553,0.565,0.16,0.351,0.0,0.156,0.919,0.233,-0.042,0.127,0.072,9.926,0.269,3.0,0.7,a,
Justin,LEE,DEF,4.5,2.342,88.989,2.334,0.52,49.816,0.359,0.589,0.41,0.0,0.181,0.906,0.0,-0.103,0.08,0.055,8.518,0.251,3.167,0.6,a,
Sangaré,NFO,MID,5.0,2.323,88.289,2.323,0.465,54.553,0.415,0.146,0.506,0.0,0.072,0.992,0.316,-0.124,0.068,0.089,10.776,0.227,3.0,1.1,a,
Yeremy,CRY,MID,5.5,2.308,87.711,2.308,0.42,54.579,0.78,0.175,0.095,0.0,0.09,0.992,0.279,-0.104,0.182,0.235,7.406,0.273,3.0,0.2,a,
Barry,EVE,FWD,5.5,2.297,87.298,2.305,0.418,49.947,0.96,0.0,0.001,0.0,0.227,0.908,0.279,-0.077,0.413,0.028,3.731,0.259,2.833,1.3,a,
